FC Magpies,Gibraltar
Lincoln Red Imps FC,Gibraltar
Europa FC,Gibraltar
St Joseph's FC,Gibraltar
Lynx FC,Gibraltar
Glacis United FC,Gibraltar
Lions Gibraltar FC,Gibraltar
Mons Calpe SC,Gibraltar
Manchester 62 FC,Gibraltar
Europa Point FC,Gibraltar
College 1975 FC,Gibraltar
CD Olimpia,Tegucigalpa
Olancho FC,Juticalpa
Real CD España,San Pedro Sula
CD Marathón,San Pedro Sula
CD Motagua,Tegucigalpa
Lobos de la Universidad Pedagógica Nacional Francisco Morazán,Tegucigalpa
CDyS Vida,La Ceiba
CD Real Sociedad,Tocoa
CD Honduras Progreso,El Progreso
CD Victoria,La Ceiba
Yeoju Citizen FC,Yeoju
Geoje Citizen FC,Geoje
Pyeongchang United FC,Pyeongchang
Jinju Citizen FC,Jinju
Dangjin Citizen FC,Dangjin
Daegu FC II,Daegu
Chungju Citizen FC,Chungju
Goyang Happiness FC,Goyang
Jeonbuk Hyundai Motors FC II,Jeonju
Busan IPark II,Busan
Pyeongtaek Citizen FC,Pyeongtaek
Jeonju Citizen FC,Jeonju
Seoul Jungnang Chorus Mustang FC,Seoul
Gangwon FC II,Gangneung
Seoul Nowon United FC,Seoul
Sejong Vanesse FC,Jochiwon
Daejeon Hana Citizen FC II,Daejeon
Young Elephants FC,Vientiane
Master 7 FC,Vientiane
Ezra FC,NongHai Village
Lao Army FC,Vientiane
Luangprabang FC,TBC
Champasak FC,Pakse
Namtha United,TBC
Viengchanh FC,TBC
Al Ansar SC,Bayrūt (Beirut)
Shabab Al-Sahel,Bayrūt (Beirut)
Al Ahed SC,Bayrūt (Beirut)
Al-Nejmeh SC Beirut,Bayrūt (Beirut)
Bourj FC,TBC
Shabab Al-Ghazieh,Saïda (Saida)
Safa Beirut SC,Bayrūt (Beirut)
Tadamon SC,Sour
Al Akhaa Al Ahli Aley,Bayrūt (Beirut)
Salam Zgharta,Zgharta
Al Hikma / CS La Sagesse,Bayrūt (Beirut)
Tripoli SC,Tripoli (Tarabulus)
FC Swift Hesperange,Hesper (Hesperange)
FC Progrès Niederkorn,Nidderkuer (Niedercorn)
F91 Dudelange,Diddeleng (Dudelange)
Union Titus Pétange,Péiteng (Pétange)
FC Differdange 03,Déifferdeng (Differdange)
US Mondorf-les-Bains,Munnerëf (Mondorf-les-Bains)
AS la Jeunesse d'Esch,Esch-Uelzecht (Esch-sur-Alzette)
Racing FC Union Luxembourg,Lëtzebuerg (Luxembourg)
FC UNA Strassen,Strassen (Strossen)
FC Wiltz 71,Weidingen
FC Victoria Rosport,Rousport (Rosport)
FC Monnerich,Monnerëch (Mondercange)
CS Fola Esch,Esch-Uelzecht (Esch-sur-Alzette)
Uewer/Nidder Käerjéng 97,Nidderkäerjeng (Bascharage)
FC Etzella Ettelbrück,Ettelbréck (Ettelbrück)
US Hostert,Hostert
Hamrun Spartans FC,Ħamrun (Hamrun)
Birkirkara FC,Birkirkara
Gzira United FC,Ta'Qali
Paola Hibernians FC,Paola
Balzan FC,Ħamrun (Hamrun)
Mosta FC,Mosta
Floriana FC,Floriana
Valletta FC,Ta'Qali
Sirens FC,St. Paul's Bay
Gudja United FC,Gudja
Marsaxlokk FC,Marsaxlokk
Santa Lucia FC,Pembroke
Zebbug Rangers FC,Ħaż-Żebbuġ (Città Rohan)
Pietà Hotspurs FC,Ħamrun (Hamrun)
Asser Christelijke Voetbalvereniging,Assen
Gelders Veenendaalse Voetbal Vereniging,Veenendaal
vv Sterk Door Combinatie,Hoornaar
FC Rijnvogels,Katwijk aan Zee
BVV Barendrecht,Barendrecht
Sportlust '46,Woerden
Door Vereniging Sterk '33 Ermelo,Ermelo
VV Sparta Nijkerk,Nijkerk
Hoekse Sportvereniging Hoek,Hoek
Door Ons Vrienden Opgericht,Veenendaal
Staphorst,Staphorst
SV Urk,Urk
vv Harkemase Boys,Harkema
RKAV Volendam Amateurs,Volendam
Voetbal Vereniging Ons Genoegen,Harderwijk
SV Excelsior 1931,Rijssen
VV Ter Leede,Sassenheim
Altijd Sterker Wordend Hendrik-Ido-Ambacht,Hendrik-Ido-Ambacht
HFC ADO Den Haag,Den Haag (‘s-Gravenhage)
Alkmaar Zaanstreek II,Wijdewormer
AFC Ajax II,Amsterdam-Duivendrecht
SC Cambuur Leeuwarden,Leeuwarden
BV De Graafschap,Doetinchem
FC Den Bosch,'s-Hertogenbosch
FC Dordrecht,Dordrecht
FC Eindhoven,Eindhoven
FC Emmen,Emmen
FC Groningen,Groningen
Helmond Sport,Helmond
MVV,Maastricht
NAC Breda,Breda
PSV Eindhoven II,Eindhoven
SV Roda JC,Kerkrade
TOP Oss,Oss
SC Telstar,Velsen-Zuid
FC Utrecht II,Utrecht
VVV Venlo,Venlo
Willem II,Tilburg
SV HBC,Heemstede
Alkmaarse FC 1934,Alkmaar
VV Kolping Boys,Alkmaar
SV Hoofddorp,Hoofddorp
RKSV Vitesse '22,Castricum
Amsterdam Gençler Birligi FC,Amsterdam
IVV Landsmeer,Landsmeer
SV Fortuna Wormerveer,Wormerveer
SV Hillegom,Hillegom
Langedijker Sport Vereniging Voorwaarts,Zuid-Scharwoude
AVV Samenspel Doet Zegevieren,Amsterdam
VV Assendelft,Assendelft 
FC Uitgeest,Uitgeest
SV De Meer,Amsterdam
RKSV Nuenen Women,Nuenen
ADO 1920 Women,Heemskerk
Always Forward SV Women,Hoorn
vv VDZ Arnhem Women,Arnhem
VV Hoogland Women,Hoogland
Winkel Women,Winkel
SC Buitenveldert II Women,Amsterdam
Witkampers FC Women,Laren
Burgerhoutse Sport Club Women,Roosendaal
RSV Antibarbari Women,Rotterdam
VV Schijf Women,Schijf
RKVV Velsen Women,Driehuis
Alkmaar Zaanstreek,Alkmaar
AFC Ajax,Amsterdam
Almere City FC,Almere
SBV Excelsior,Rotterdam
Feyenoord Rotterdam,Rotterdam
Fortuna Sittard,Sittard
Go Ahead Eagles,Deventer
SC Heerenveen,Heerenveen
Heracles Almelo,Almelo
Nijmegen Eendracht Combinatie,Nijmegen
PEC Zwolle,Zwolle
PSV Eindhoven,Eindhoven
RKC Waalwijk,Waalwijk
Sparta Rotterdam,Rotterdam
FC Twente,Enschede
FC Utrecht,Utrecht
SBV Vitesse,Arnhem
FC Volendam,Volendam
AFC Ajax Women,Amsterdam-Duivendrecht
FC Twente Women,Enschede
Fortuna Sittard Women,TBC
PSV Eindhoven Women,Eindhoven
ADO Den Haag Women,Den Haag (‘s-Gravenhage)
PEC Zwolle Women,Zwolle
Feyenoord Rotterdam Women Women,Rotterdam
SC Heerenveen Women,Nieuwehorne
VV Alkmaar Women,Alkmaar
SC Telstar VVNH Women,TBC
SBV Excelsior Women,Rotterdam
vv Kloetinge,Kloetinge
VV Capelle,Capelle aan den IJssel
Smitshoek,Barendrecht
vv Gezamenlijk Opwaarts Eendrachtig Sterk,Goes
Alphense Racing Club,Alphen aan den Rijn
vv Nieuwenhoorn,Hellevoetsluis
PSV Poortugaal,Poortugaal
HSV ODIN '59,Heemskerk
FC 's-Gravenzande,'s Gravenzande
Zwaluwen Vlaardingen,Vlaardingen
vv Achilles Veen,Veen
SC Feyenoord Amateurs,Rotterdam
VV Spijkenisse,Spijkenisse
Waardenburg Neerijnen Combinatie,Waardenburg
CVV De Jodan Boys,Gouda
ASV De Dijk,Amsterdam
RKSV Bekkerveld Women,Heerlen
VV Trekvogels Women,Nijmegen
Rooms-Katholieke Sportvereniging De Tukkers Women,Albergen
Victoria Boys Women,Apeldoorn
FC Eindhoven II Women,Eindhoven
VV FSG Women,Sittard
rkvv SDO Women,Bussum
Bavel Women,Bavel
ST Someren / NWC Women,Someren
FC Berghuizen Women,Oldenzaal
Nooit Gedacht Women,Geffen
Woezik Women,Wijchen
FC Eindhoven Women,Eindhoven
SV Saestum Women,Zeist
DTS Ede Women,Ede gld
ASV Wartburgia Women,Amsterdam
vv Ter Leede Women,Sassenheim
CVV Oranje Nassau Women,Groningen
FC Rijnvogels Women,Katwijk aan Zee
RKVV DSS Women,Haarlem
Eldenia Arnhem Women,Arnhem
ACV Assen Women,Assen
Be Quick 1928 Women,Zwolle
DSE Women,Etten-Leur
vv Katwijk,Katwijk
Rijnsburgse Boys,Rijnsburg
Amsterdamsche FC,Amsterdam
Hardenberg Heemse Combinatie,Hardenberg
De Treffers,Groesbeek
kvv Quick Boys,Katwijk
Koninklijke Haarlemsche FC,Haarlem
SVV Scheveningen,Den Haag
vv Noordwijk,Noordwijk
Sparta Rotterdam II,Maassluis
SV Spakenburg,Bunschoten
FC Lisse,Lisse
Kozakken Boys,Werkendam
Excelsior Maassluis,Maassluis
sv Tielse Eendracht Combinatie,Tiel
IJsselmeervogels Spakenburg,Bunschoten-Spakenburg
FC Volendam II,Volendam
Oostzaanse Football Club,Oostzaan
SBV Vitesse Under 18,Arnhem
ADO Den Haag Under 18,Den Haag
FC Groningen Under 18,Groningen
SC Heerenveen Under 18,Heerenveen
NAC Breda Under 18,Breda
BV De Graafschap Under 18,Doetinchem
FC Den Bosch U18,'s-Hertogenbosch
SBV Excelsior Under 18,Rotterdam
Willem II Under 18,Tilburg
SC Cambuur Leeuwarden Under 18,Leeuwarden
NEC Voetbalacademie Under 18,Nijmegen
Almere City Under 18,Almere
Go Ahead Eagles Under 18,Twello
FC Volendam Under 18,Volendam
VVV Venlo Under 18,Venlo
FC Emmen Under 18,Emmen
Alkmaarse FC 1934 Under 18,Alkmaar
SC Telstar 1963 U18,Ijmuiden
Amsterdamsche FC Under 18,Amsterdam
Hoornse Voetbalvereniging Hollandia Under 18,Hoorn
SV Fortuna Wormerveer Under 18,Wormerveer
Koninklijke Haarlemsche FC Under 18,Haarlem
Almere Sports Club Waterwijk Under 18,Almere
kvv Quick Boys U18,Katwijk zh
Almere City Under 21,Almere
BV De Graafschap Under 21,Doetinchem
Feyenoord Rotterdam Under 21,Rotterdam
ADO Den Haag Under 21,Den Haag
FC Twente / Heracles Academie Under 21,Hengelo
FC Groningen Under 21,Groningen
PEC Zwolle Under 21,Zwolle
NAC Breda Under 21,Breda
Go Ahead Eagles Under 21,Twello
SC Cambuur Leeuwarden Under 21,Leeuwarden
SBV Vitesse Under 21,Arnhem
SC Heerenveen Under 21,Heerenveen
NEC Voetbalacademie Under 21,Nijmegen
FC Emmen Under 21,Emmen
SV Roda JC Under 21,Kerkrade
Willem II Under 21,Tilburg
VVV Venlo Under 21,Venlo
FC Dordrecht Under 21,Dordrecht
Fortuna Sittard Under 21,Sittard
SC Telstar Under 21,Velsen-Zuid
Excelsior Maassluis Under 21,Maassluis
FC Den Bosch U21,'s-Hertogenbosch
SBV Excelsior Under 21,Rotterdam
Alphense Boys Under 21,Alphen aan den Rijn
Koninklijke Haarlemsche FC Under 21,Haarlem
AVV Zeeburgia Under 21,Amsterdam
Amsterdamsche FC Under 21,Amsterdam
Hoornse Voetbalvereniging Hollandia Under 21,Hoorn
VV IJsselmeervogels Spakenburg U21,Bunschoten-spakenburg
Be Quick 1887 U21,Haren
ASV De Dijk U21,Amsterdam
SV Argon U21,Mijdrecht
FC Eindhoven Under 21,Eindhoven
kvv Quick Boys Under 21,Katwijk
MVV Under 21,Maastricht
De Treffers Underr 21,Groesbeek
USV Hercules Under 21,Utrecht
Alexandria '66 Under 21,Rotterdam
RKSV Spartaan'20 Under 21,Rotterdam
RKVV Westlandia Under 21,Naaldwijk
Wellington Olympic,Wellington
Wellington Phoenix FC II,Lower Hutt
Western Suburbs FC,Porirua
Napier City Rovers,Napier
Petone FC,Lower Hutt 
Waterside Karori AFC,Wellington
Miramar Rangers AFC,Wellington
Stop Out SC,Lower Hutt
North Wellington AFC,Wellington
Whanganui Athletic FC,Whanganui
Christchurch United AFC,Christchurch
Cashmere Technical,Christchurch
Dunedin City Royals,Dunedin
Ferrymead Bays FC,Christchurch
Coastal Spirit FC,Christchurch
Nelson Suburbs FC,Nelson
Nomads United AFC,Christchurch 
Green Island AFC,Dunedin
Selwyn United FC,Rolleston
FC Twenty 11,Christchurch
Auckland City FC,Auckland
Eastern Suburbs AFC,Kohimarama
Auckland United FC,Auckland
Manurewa AFC,Auckland
Western Springs AFC,Auckland
Birkenhead United,Auckland
Melville United,Hamilton
Hamilton Wanderers AFC,Hamilton
West Coast Rangers FC,Waitakere City
Bay Olympic FC,Auckland
Takapuna AFC,Auckland
Manukau United FC,Auckland
Bay Olympic FC U23,Auckland
Auckland City FC U23,Auckland
Eastern Suburbs AFC U23,Kohimarama
Auckland United FC U23,Auckland
Takapuna AFC U23,Auckland
Western Springs AFC U23,Auckland
Birkenhead United AFC U23,Auckland
Hamilton Wanderers AFC U23,Hamilton 
West Coast Rangers FC Under 23,TBC
Manurewa AFC Under 23,TBC
Melville United AFC U23,Hamilton
Manukau United FC U23,"Mangere East, Auckland"
Derry City FC U19,Derry (Londonderry)
Galway United FC U19,Galway
Shamrock Rovers FC U19,Dublin
Cobh Ramblers FC U19,Cobh
Treaty United FC U19,Limerick
Waterford FC U19,Waterford
Bray Wanderers AFC U19,Dublin
Cork City FC Under 19,Cork
Kerry FC U19,TBC
Wexford FC U19,"Newcastle, Crossabeg"
CK United FC U19,TBC
St Patrick's Athletic FC U19,Dublin
Bohemian FC Under 19,Dublin
Drogheda United FC U19,Navan
University College Dublin FC Under 19,Dublin
Sligo Rovers FC U19,Sligo
Dundalk FC U19,Dundalk
Finn Harps FC U19,Letterkenny
Athlone Town FC U19,Athlone
Klub Kildare U19,TBC
Longford Town FC U19,Longford Town
Shelbourne FC U19,TBC
Dundee FC,Dundee
Ayr United FC,Ayr
Queen's Park FC,Glasgow
Partick Thistle FC,Glasgow
Greenock Morton FC,Greenock
Inverness Caledonian Thistle FC,Inverness
Raith Rovers FC,Kirkcaldy
Arbroath FC,Arbroath
Hamilton Academical FC,Hamilton
Cove Rangers FC,Aberdeen
Dunfermline Athletic FC,Dunfermline
Falkirk FC,Falkirk
Airdrieonians FC,Airdrie
Alloa Athletic FC,Alloa
Queen of the South FC,Dumfries
Edinburgh City FC,Edinburgh
Montrose FC,Montrose
Kelty Hearts FC,Kelty
Clyde FC,Hamilton
Peterhead FC,Peterhead
Stirling Albion FC,Stirling
Dumbarton FC,Dumbarton
Annan Athletic FC,Annan
East Fife FC,Methil
Forfar Athletic FC,Forfar
Stenhousemuir FC,Stenhousemuir
Stranraer FC,Stranraer
Bonnyrigg Rose Athletic FC,Bonnyrigg
Elgin City FC,Elgin
Albion Rovers FC,Coatbridge
Westside Metros FC Women,"Hillsboro, Oregon"
Spokane SC Shadow Women,TBC
OSA XF Women,Burien
Cultures United FC Women,TBC
ISC Gunners FC Women,TBC
SC del Sol Women,TBC
FC Tucson Women,Tucson
Arizona Arsenal SC Women,TBC
Royals Arizona FC Women,TBC
El Paso Surf SC Women,TBC
California Storm FC Women,"Sacramento, California"
Fresno Freeze FC Women,TBC
Lamorinda United SC Women,TBC
San Francisco Nighthawks Women,TBC
Davis FC Women,TBC
BattleBorn FC Women,TBC
Napa Valley 1839 FC Women,TBC
San Francisco Elite SC Women,TBC
San Ramon FC Women,TBC
Diablo Valley Wolves SC Women,TBC
SoCal Reds FC Women,"Irvine, California"
FC Premier Women Women,TBC
Los Angeles Surf SC Women,TBC
So Cal Union FC Women,"Temecula, California"
Rebels Soccer Club Inland Empire Women,TBC
Elite Development Academy SC Women,TBC
San Diego Surf Women,San Diego
San Diego Strikers Women,TBC
Albion San Diego Women,TBC
SoCal Dutch Lions FC Women,TBC
San Diego Parceiro LFC Women,TBC
Clarkstown Soccer Club Women,TBC
Rhode Island Rogues FC Women,"Bristol, Rhode Island"
Vermont Fusion Soccer Women,TBC
Force FC New York Women,TBC
New York Shockers Women,TBC
Kingston Capitals Women,TBC
PA Classics Women,TBC
Reading United AC Women,TBC
Real Central New Jersey SC Women,TBC
Lehigh Valley Tempest FC Women,TBC
Torch FC Women,TBC
Hershey FC Women,TBC
South Jersey Elite Barons FC Women,TBC
Penn Fusion SA Women,"West Chester, Pennsylvania"
Fever SC Women,"Oakford, Pennsylvania"
CAFC Ospreys Women,Milford
Washington Dutch Lions FC Women,TBC
Philadelphia Ukrainian Nationals Liberty Women,TBC
Downtown United Soccer Club Women,TBC
STA Morris United Women,TBC
New York Athletic Club Women,New York
SUSA FC Women,Hauppauge
New York Dutch Lions FC Women,TBC
Brooklyn City F.C. Women,TBC
NJ Wizards SC Women,Cedar Grove
Ambassadors Cleveland FC Women,TBC
Cleveland Ambassadors FC Women,"Chagrin Falls Township, Ohio"
Beadling Soccer Club Women,TBC
Rochester New York FC Women,TBC
Erie FC Women,TBC
Nashville Rhythm FC Women,TBC
Georgia Impact Women,"Canton, Georgia"
Charlotte Lady Eagles Women,"Charlotte, North Carolina"
WFC of Charlotte Women,TBC
865 Alliance Women,TBC
Chattanooga FC Women,TBC
Atlanta Fire United Women,TBC
FC Birmingham Women,TBC
Soda City FC Women,TBC
AHFC Royals Women,TBC
Lonestar SC Women,TBC
Houston Aces Women,TBC
Austin Rise FC Women,TBC
San Antonio Blossoms FC Women,TBC
Corinthians FC of San Antonio Women,TBC
Challenge Red Devils Women,TBC
Bat Country FC Women,TBC
West Florida Flames Women,TBC
Florida Kraze Krush Soccer Club Women,TBC
Seminole Ice Women,TBC
North Port Fusion FC Women,TBC
United Soccer Alliance Women,TBC
Prime FC Women,TBC
Team Boca Blast FC Women,TBC
FC Surge Women,"Hialeah, Florida"
Cape Coral Cyclones Women,TBC
Florida Gulf Coast Dutch Lions FC Women,Cape Coral
FC Dallas Women,TBC
SouthStar FC Women,TBC
D'Feeters Kicks Soccer Club Building A Different Type of Player Women,TBC
Oklahoma City FC Women,"Mustang, Oklahoma"
Tulsa SC Women,TBC
Minnesota Thunder Women,TBC
Salvo SC Women,"Saint Paul, Minnesota"
Sioux Falls City FC Women,TBC
St. Croix SC Women,TBC
Maplebrook Fury Women,Maple Grove
Joy Athletic Club Women,TBC
Manitou Futbol Club Women,TBC
Rochester United FC Women,"Rochester, Minnesota"
Mankato United SC Women,North Mankato
Dakota Fusion FC Women,TBC
Utah Avalanche Soccer Club Women,TBC
Utah Surf SC Women,TBC
La Roca Futbol Club Women,TBC
Griffins FC Women,TBC
Utah Red Devils FC Women,"Bluffdale, Utah"
Colorado Rapids Women,Golden
Colorado Pride Women,"Colorado Springs, Colorado"
Boulder County United Women,TBC
Indios Denver FC Women,TBC
Flatirons Rush SC Women,TBC
Broomfield Burn Women,TBC
Columbus Eagles FC Women,"Bexley, Ohio"
FC Dayton Women,TBC
FC Pride Women,TBC
FC Spirit Women,TBC
Dayton Dutch Lions Women,"Beavercreek, Ohio"
Milwaukee Torrent FC Women,TBC
KICS Football Club Women,TBC
Iowa Raptors FC Women,"Cedar Rapids, Iowa"
Midwest Select SA Muskrats Women,TBC
Quad Cities Rush Women,TBC
KC Courage Women,Kansas City
St. Louis Scott Gallagher Women,TBC
Kansas City Scott Gallagher SC Women,TBC
Sunflower State FC Women,TBC
Lou Fusz Athletic Women,TBC
AFC Columbia Women,TBC
Quang Nam FC,Tam Kỳ (Tam Ky)
PVF-Công An Nhân Dân FC,Liên Nghĩa
Phu Dong,Hà Nội (Hanoi)
Binh Thuan,Ninh Thuận
Long An FC,Tân An (Tan An)
CLB Hòa Bình,Hòa Bình
CLB Bóng đá Huế FC,Huế (Hue)
Bà Ria Vũng Tàu,Bà Rịa
Bình Phước,Bình Phước
CLB Bóng Đá Phú Thọ,Việt Trì
Barry Town United FC,"Barry / Y Barri, Vale of Glamorgan"
Llanelli Town AFC,"Llanelli, Carmarthenshire"
Briton Ferry Llansawel AFC,Briton Ferry
Carmarthen Town AFC,"Caerfyrddin / Carmarthen, Dyfed"
Cambrian & Clydach Vale FC,Clydach Vale (Cwmclydach)
Afan Lido FC,"Port Talbot / Porth Talbot, Neath Port Talbot"
Llantwit Major FC,Llantwit Major
Cwmbran Celtic FC,"Cwmbran, Monmouthshire"
Pontardawe Town FC,Swansea
Ammanford Association FC,Ammanford
Taff's Well AFC,"Taffs Well / Ffynnnon Taf, Rhondda Cynon Taf"
Goytre United FC,"Goytre / Goetre, Neath Port Talbot"
Abergavenny Town FC,"Abergavenny, Monmouthshire"
Trefelin,Cwmafan
Swansea University FC,Swansea
Ynyshir Albions FC,Porth
Colwyn Bay FC,"Colwyn Bay (Bae Colwyn), Conwy"
Holywell Town FC,Holywell
Llandudno FC,"Llandudno, Conwy County Borough"
Guilsfield FC,"Guilsfield / Cegidfa, Powys"
Ruthin Town FC,"Ruthin / Rhuthun, Denbighshire"
Prestatyn Town FC,"Prestatyn, Denbighshire"
Cefn Druids AFC,Rhosymedre
Buckley Town FC,"Buckley / Bwcle, Flintshire"
Mold Alexandra FC,"Mold, Flintshire"
Gresford Athletic FC,Wrexham
CPD Porthmadog FC,"Porthmadog, Gwynedd"
Llanidloes Town FC,Llanidloes
Chirk AAA,Chirk
Conwy Borough FC,Conwy
Penrhyncoch FC,"Penrhyncoch, Ceredigion"
Holyhead Hotspur FC,"Holyhead, Isle of Anglesey"
The New Saints FC,"Oswestry / Croesoswallt, Shropshire"
Connah's Quay Nomads FC,"Cei Conna / Connah's Quay, Flintshire"
Penybont FC,"Bridgend, Bridgend County Borough"
Cardiff Metropolitan University FC,Cardiff (Caerdydd)
Bala Town FC,"Bala, Gwynedd"
Newtown AFC,"Ydrenewydd / Newtown, Powys"
Haverfordwest County AFC,"Hwlffordd / Haverfordwest, Pembrokeshie"
Caernarfon Town FC,"Caernarfon, Gwynedd"
Flint Town United FC,"Y Fflint / Flint, Flintshire"
Aberystwyth Town FC,"Aberystwyth, Ceredigion"
Pontypridd United AFC,"Treforest, Pontypridd"
Airbus UK FC,"Broughton, Flintshire"
Cardiff City FC Women,Cardiff (Caerdydd)
Swansea City AFC Ladies,"Neath / Castell-nedd, West Glamorgan"
Cardiff Metropolitan Ladies AFC,Cardiff (Caerdydd)
The New Saints FC Women,"Oswestry / Croesoswallt, Shropshire"
Pontypridd United AFC Ladies,"Treforest, Pontypridd"
Aberystwyth Town LFC Women,"Aberystwyth, Ceredigion"
Barry Town United FC Women,"Barry / Y Barri, Vale of Glamorgan"
Abergavenny WFC Women,"Abergavenny, Monmouthshire"
